detector_id,day,time,volume
1,1,00:00:00,623
1,1,00:05:00,941
1,1,00:10:00,757
1,1,00:15:00,696
1,1,00:20:00,745
1,1,00:25:00,650
1,1,00:30:00,772
1,1,00:35:00,776
1,1,00:40:00,739
1,1,00:45:00,485
1,1,00:50:00,502
1,1,00:55:00,462
1,1,01:00:00,657
1,1,01:05:00,654
1,1,01:10:00,634
1,1,01:15:00,526
1,1,01:20:00,377
1,1,01:25:00,823
1,1,01:30:00,585
1,1,01:35:00,954
1,1,01:40:00,871
1,1,01:45:00,730
1,1,01:50:00,600
1,1,01:55:00,877
1,1,02:00:00,643
1,1,02:05:00,779
1,1,02:10:00,847
1,1,02:15:00,978
1,1,02:20:00,1018
1,1,02:25:00,847
1,1,02:30:00,1056
1,1,02:35:00,930
1,1,02:40:00,1314
1,1,02:45:00,963
1,1,02:50:00,1312
1,1,02:55:00,977
1,1,03:00:00,1521
1,1,03:05:00,1418
1,1,03:10:00,1732
1,1,03:15:00,1924
1,1,03:20:00,2219
1,1,03:25:00,2047
1,1,03:30:00,2458
1,1,03:35:00,2782
1,1,03:40:00,2117
1,1,03:45:00,2088
1,1,03:50:00,2320
1,1,03:55:00,1916
1,1,04:00:00,1566
1,1,04:05:00,1905
1,1,04:10:00,2273
1,1,04:15:00,2290
1,1,04:20:00,2289
1,1,04:25:00,2107
1,1,04:30:00,1953
1,1,04:35:00,1800
1,1,04:40:00,1677
1,1,04:45:00,1724
1,1,04:50:00,1611
1,1,04:55:00,956
1,1,05:00:00,1217
1,1,05:05:00,2003
1,1,05:10:00,3214
1,1,05:15:00,3023
1,1,05:20:00,3550
1,1,05:25:00,3231
1,1,05:30:00,3807
1,1,05:35:00,4330
1,1,05:40:00,3683
1,1,05:45:00,4496
1,1,05:50:00,3912
1,1,05:55:00,3622
1,1,06:00:00,3198
1,1,06:05:00,2587
1,1,06:10:00,2946
1,1,06:15:00,3461
1,1,06:20:00,3741
1,1,06:25:00,3630
1,1,06:30:00,4372
1,1,06:35:00,4268
1,1,06:40:00,4319
1,1,06:45:00,4056
1,1,06:50:00,4103
1,1,06:55:00,3531
1,1,07:00:00,3465
1,1,07:05:00,3471
1,1,07:10:00,3519
1,1,07:15:00,4274
1,1,07:20:00,3750
1,1,07:25:00,3713
1,1,07:30:00,4094
1,1,07:35:00,3654
1,1,07:40:00,4198
1,1,07:45:00,4332
1,1,07:50:00,3893
1,1,07:55:00,3426
1,1,08:00:00,3885
1,1,08:05:00,3480
1,1,08:10:00,3445
1,1,08:15:00,3233
1,1,08:20:00,3602
1,1,08:25:00,3493
1,1,08:30:00,3512
1,1,08:35:00,2918
1,1,08:40:00,4023
1,1,08:45:00,3420
1,1,08:50:00,3358
1,1,08:55:00,3703
1,1,09:00:00,3539
1,1,09:05:00,3747
1,1,09:10:00,4191
1,1,09:15:00,3552
1,1,09:20:00,3532
1,1,09:25:00,3460
1,1,09:30:00,3951
1,1,09:35:00,3602
1,1,09:40:00,3692
1,1,09:45:00,4051
1,1,09:50:00,3648
1,1,09:55:00,3548
1,1,10:00:00,3772
1,1,10:05:00,3525
1,1,10:10:00,3317
1,1,10:15:00,3441
1,1,10:20:00,3356
1,1,10:25:00,3265
1,1,10:30:00,3327
1,1,10:35:00,3587
1,1,10:40:00,3952
1,1,10:45:00,3532
1,1,10:50:00,3071
1,1,10:55:00,3251
1,1,11:00:00,3204
1,1,11:05:00,3767
1,1,11:10:00,3597
1,1,11:15:00,3571
1,1,11:20:00,3601
1,1,11:25:00,3704
1,1,11:30:00,3157
1,1,11:35:00,3702
1,1,11:40:00,3890
1,1,11:45:00,3873
1,1,11:50:00,3514
1,1,11:55:00,3929
1,1,12:00:00,3528
1,1,12:05:00,3761
1,1,12:10:00,3864
1,1,12:15:00,3558
1,1,12:20:00,3790
1,1,12:25:00,4278
1,1,12:30:00,3381
1,1,12:35:00,3589
1,1,12:40:00,4005
1,1,12:45:00,3828
1,1,12:50:00,3275
1,1,12:55:00,3210
1,1,13:00:00,3746
1,1,13:05:00,3507
1,1,13:10:00,4341
1,1,13:15:00,3712
1,1,13:20:00,3967
1,1,13:25:00,4248
1,1,13:30:00,4071
1,1,13:35:00,3737
1,1,13:40:00,3076
1,1,13:45:00,2951
1,1,13:50:00,3185
1,1,13:55:00,3873
1,1,14:00:00,3646
1,1,14:05:00,3819
1,1,14:10:00,3854
1,1,14:15:00,3714
1,1,14:20:00,4166
1,1,14:25:00,3398
1,1,14:30:00,3902
1,1,14:35:00,4167
1,1,14:40:00,3956
1,1,14:45:00,4269
1,1,14:50:00,4410
1,1,14:55:00,3950
1,1,15:00:00,3730
1,1,15:05:00,3835
1,1,15:10:00,4184
1,1,15:15:00,4251
1,1,15:20:00,3650
1,1,15:25:00,4152
1,1,15:30:00,3956
1,1,15:35:00,4081
1,1,15:40:00,4540
1,1,15:45:00,4155
1,1,15:50:00,4100
1,1,15:55:00,4270
1,1,16:00:00,4114
1,1,16:05:00,3681
1,1,16:10:00,3693
1,1,16:15:00,3948
1,1,16:20:00,4213
1,1,16:25:00,4113
1,1,16:30:00,3526
1,1,16:35:00,3434
1,1,16:40:00,3210
1,1,16:45:00,4242
1,1,16:50:00,4006
1,1,16:55:00,3845
1,1,17:00:00,3422
1,1,17:05:00,3878
1,1,17:10:00,4010
1,1,17:15:00,4415
1,1,17:20:00,3290
1,1,17:25:00,4077
1,1,17:30:00,3483
1,1,17:35:00,3467
1,1,17:40:00,3798
1,1,17:45:00,3620
1,1,17:50:00,3372
1,1,17:55:00,3471
